,NomeCidade,MediaSalarialGeral,SalMed_ExecGeral,SalMed_GerenteIntGeral,SalMed_FuncGeral,SalMed_TrabalhadorGeral
1684,Notre-Dame-d'Oé,15.0,24.6,16.0,10.7,12.2
1685,Parçay-Meslay,13.9,24.0,14.6,10.7,11.2
1686,La Riche,12.5,21.5,13.7,10.2,10.6
1687,Rochecorbon,16.6,27.4,16.5,10.8,10.8
1688,Saint-Avertin,17.4,27.8,15.9,11.4,11.7
1689,Saint-Branchs,13.1,22.0,13.8,11.0,10.8
1690,Saint-Cyr-sur-Loire,16.7,27.7,15.1,11.2,11.4
1691,Saint-Martin-le-Beau,13.8,24.0,14.1,10.9,11.5
1692,Sainte-Maure-de-Touraine,11.8,21.0,13.7,10.1,10.5
1693,Saint-Pierre-des-Corps,12.3,21.1,14.0,10.3,10.7
1694,Savonnières,15.1,25.7,14.1,11.1,11.3
1695,Semblançay,14.1,21.9,15.4,11.2,11.7
1696,Sorigny,13.0,20.9,14.2,10.5,11.2
1697,Tours,13.4,23.6,13.6,10.2,10.3
1698,Truyes,13.7,24.4,14.4,11.2,11.0
1699,Veigné,14.9,25.3,15.0,10.9,11.2
1700,Véretz,14.9,23.4,14.7,11.4,11.8
1701,Vernou-sur-Brenne,14.5,24.0,14.6,11.0,12.1
1702,La Ville-aux-Dames,13.1,20.8,14.2,10.7,11.3
1703,Vouvray,15.4,26.4,14.4,10.7,11.3
1704,Les Abrets,12.3,24.3,13.3,10.3,10.7
1705,Allevard,13.9,23.2,15.1,10.3,11.7
1706,Aoste,12.5,21.3,14.3,10.4,11.1
1707,Apprieu,15.1,23.8,15.2,11.1,11.8
1708,Les Avenières,12.8,23.0,14.4,10.5,11.0
1709,Beaurepaire,11.6,21.6,14.1,9.7,10.3
1710,Bernin,22.1,29.5,16.4,12.9,14.0
1711,Biviers,29.1,38.4,15.9,12.7,18.2
1712,Le Bourg-d'Oisans,13.2,21.6,16.3,10.3,12.1
1713,Bourgoin-Jallieu,13.1,23.2,14.4,10.5,10.6
1714,Brié-et-Angonnes,19.1,27.6,16.7,11.9,14.4
1715,La Buisse,16.6,26.4,15.6,11.4,12.5
1716,Cessieu,13.6,24.0,14.9,11.2,11.1
1717,Champ-sur-Drac,14.4,23.6,15.7,10.9,12.4
1718,Chanas,13.7,22.4,15.1,10.7,11.7
1719,Chapareillan,15.0,24.0,15.1,11.1,11.6
1720,Charvieu-Chavagneux,13.1,22.1,14.2,11.0,11.5
1721,Chasse-sur-Rhône,12.9,22.2,14.5,10.5,11.4
1722,Chatte,12.9,23.0,14.5,9.9,10.6
1723,Chavanoz,13.3,22.1,15.0,10.8,11.4
1724,Le Cheylas,14.5,22.7,15.4,11.0,11.9
1725,Chirens,14.9,24.6,15.7,10.8,12.3
1726,Chuzelles,16.5,26.9,15.9,11.8,12.6
1727,Claix,19.1,29.0,16.2,11.8,13.2
1728,Corbelin,13.6,23.7,13.9,11.0,11.2
1729,Corenc,26.2,35.4,17.0,12.6,12.1
1730,La Côte-Saint-André,13.3,25.7,13.7,10.1,10.9
1731,Coublevie,19.0,28.1,16.0,12.2,12.5
1732,Crémieu,14.7,26.4,14.5,11.1,11.7
1733,Crolles,18.6,27.2,15.4,11.4,12.2
1734,Diémoz,15.0,26.0,15.3,11.0,11.6
1735,Dolomieu,14.4,23.4,15.2,11.0,11.9
1736,Domène,14.1,22.1,14.6,10.6,11.6
1737,Échirolles,13.0,22.0,14.5,10.4,11.1
1738,Estrablin,14.9,23.5,15.2,10.7,12.0
1739,Eybens,15.4,24.7,14.8,11.1,11.3
1740,Eyzin-Pinet,14.7,24.3,14.8,11.5,12.2
1741,Fontaine,12.9,21.3,13.9,10.4,11.3
1742,Fontanil-Cornillon,16.5,26.1,16.0,11.4,12.2
1743,Froges,14.9,24.2,15.5,11.0,11.5
1744,Gières,15.1,22.9,14.7,10.7,11.8
1745,Goncelin,14.5,22.8,14.6,10.7,11.5
1746,Le Grand-Lemps,13.7,22.6,14.9,10.9,11.5
1747,Grenoble,14.7,22.6,13.9,10.5,11.1
1748,Heyrieux,14.3,23.6,15.0,11.4,11.8
1749,L'Isle-d'Abeau,13.7,23.8,14.6,10.7,10.9
1750,Izeaux,13.7,23.0,14.8,11.2,11.5
1751,Jardin,17.2,25.6,16.1,12.0,13.0
1752,Jarrie,17.1,27.7,16.2,10.9,12.5
1753,Lans-en-Vercors,16.8,25.9,14.9,11.2,11.9
1754,Lumbin,18.8,28.3,16.2,12.1,11.4
1755,Luzinay,16.3,24.2,15.7,11.8,12.5
1756,Meylan,20.0,29.3,15.7,12.4,12.3
1757,Moirans,14.4,23.6,15.0,10.9,11.2
1758,Montalieu-Vercieu,12.4,22.6,14.8,10.4,11.1
1759,Montbonnot-Saint-Martin,20.4,27.4,15.7,12.3,13.2
1760,Morestel,13.8,26.0,15.3,10.3,11.1
1761,La Mure,12.0,22.5,14.1,9.8,10.7
1762,Nivolas-Vermelle,14.3,23.7,15.1,10.7,11.1
1763,Noyarey,15.8,26.2,14.9,11.5,12.4
1764,Le Péage-de-Roussillon,12.1,21.0,15.2,9.9,10.7
1765,Poisat,16.6,24.9,15.5,11.4,11.2
1766,Pontcharra,13.8,22.8,14.9,10.6,11.2
1767,Le Pont-de-Beauvoisin,12.9,22.1,13.9,10.5,10.9
1768,Pont-de-Chéruy,12.1,20.7,13.8,10.7,11.1
1769,Le Pont-de-Claix,12.7,22.7,14.3,10.2,11.5
1770,Pont-Évêque,12.4,22.0,14.7,10.1,10.8
1771,Renage,13.1,22.2,14.5,10.4,11.3
1772,Rives,13.5,24.2,14.4,10.7,11.2
1773,Roussillon,13.5,24.1,16.1,10.4,11.4
1774,Ruy,17.0,27.3,15.6,12.4,11.7
1775,Sablons,13.2,21.5,15.7,10.4,11.6
1776,Saint-André-le-Gaz,13.5,22.6,15.3,11.1,11.4
1777,Saint-Chef,14.6,24.7,15.0,11.2,11.5
1778,Saint-Clair-de-la-Tour,13.1,22.3,14.0,10.5,10.9
1779,Saint-Clair-du-Rhône,14.6,24.9,16.2,10.5,11.9
1780,Saint-Égrève,16.3,26.2,15.4,11.2,12.0
1781,Saint-Étienne-de-Crossey,16.7,26.3,16.1,11.4,12.4
1782,Saint-Étienne-de-Saint-Geoirs,13.0,22.5,14.9,10.1,11.2
1783,Saint-Geoire-en-Valdaine,14.1,24.6,14.5,10.5,11.8
1784,Saint-Georges-de-Commiers,15.2,23.4,15.4,10.6,12.8
1785,Saint-Georges-d'Espéranche,14.4,24.0,15.2,11.4,11.3
1786,Saint-Ismier,23.6,33.0,15.6,13.2,13.4
1787,Saint-Jean-de-Bournay,13.1,25.0,14.5,10.7,11.2
1788,Saint-Jean-de-Moirans,16.1,25.8,14.7,11.5,11.8
1789,Saint-Just-Chaleyssin,16.9,26.4,16.6,12.3,11.9
1790,Saint-Laurent-du-Pont,13.4,22.6,14.7,10.4,11.5
1791,Saint-Marcellin,12.3,21.8,13.9,10.1,10.5
1792,Saint-Martin-d'Hères,13.1,20.6,14.0,10.3,11.3
1793,Saint-Martin-d'Uriage,22.0,30.7,16.7,12.4,13.0
1794,Saint-Martin-le-Vinoux,14.3,24.7,14.4,10.8,10.5
1795,Saint-Maurice-l'Exil,14.2,25.0,16.9,10.2,12.0
1796,Saint-Nazaire-les-Eymes,22.3,30.4,17.2,13.1,14.9
1797,Saint-Paul-de-Varces,18.4,27.9,16.2,11.6,13.6
1798,Saint-Pierre-d'Allevard,14.7,23.1,15.2,10.8,12.1
1799,Saint-Quentin-Fallavier,12.9,22.8,13.8,10.8,10.8
1800,Saint-Romain-de-Jalionas,14.7,26.5,15.4,11.1,11.6
1801,Saint-Sauveur,13.4,24.2,15.2,10.2,11.1
1802,Saint-Savin,14.5,23.9,15.3,11.0,11.6
1803,Saint-Siméon-de-Bressieux,12.8,23.6,15.1,10.3,11.1
1804,Saint-Victor-de-Cessieu,13.4,21.8,15.0,11.0,11.6
1805,Salaise-sur-Sanne,13.9,27.0,16.0,10.6,12.1
1806,Sassenage,15.0,24.3,15.3,10.9,12.0
1807,Satolas-et-Bonce,14.5,23.7,14.9,11.6,11.5
1808,Seyssinet-Pariset,14.5,23.8,14.6,10.8,11.5
1809,Seyssins,18.5,28.1,15.4,11.9,12.1
1810,Seyssuel,16.7,26.9,16.2,11.4,11.6
1811,La Terrasse,17.9,25.7,15.6,12.0,13.8
1812,Tignieu-Jameyzieu,14.1,23.0,15.0,11.1,11.8
1813,La Tour-du-Pin,12.5,22.4,13.9,10.4,10.3
1814,Le Touvet,16.9,26.9,15.2,11.1,12.3
1815,La Tronche,18.4,28.5,14.9,10.9,11.1
1816,Tullins,14.1,23.9,14.7,10.8,11.5
1817,Valencin,16.4,25.6,15.3,11.7,12.2
1818,Varces-Allières-et-Risset,16.0,24.7,15.6,11.4,12.1
1819,Vaulnaveys-le-Haut,18.6,28.0,15.9,11.6,12.7
1820,Vaulx-Milieu,15.4,23.5,15.3,11.3,12.4
1821,La Verpillière,13.3,22.2,14.6,11.3,11.0
1822,Le Versoud,15.5,22.7,15.4,11.7,11.4
1823,Vienne,13.7,24.4,14.5,10.4,10.9
1824,Vif,14.9,24.1,15.6,10.9,12.3
1825,Villard-Bonnot,14.5,23.1,14.4,10.9,11.6
1826,Villard-de-Lans,13.3,24.2,14.2,9.9,11.1
1827,Villefontaine,12.7,22.8,14.3,10.6,10.8
1828,Villette-d'Anthon,16.1,25.5,15.6,11.9,12.1
1829,Vinay,13.0,22.5,14.6,10.5,10.9
1830,Vizille,13.0,21.8,15.0,10.4,11.6
1831,Voiron,14.3,25.3,14.5,10.8,10.8
1832,Voreppe,15.8,24.7,15.1,11.1,11.8
1833,Arbois,12.0,22.1,13.5,10.1,10.1
1834,Champagnole,11.5,23.3,13.3,10.0,10.3
1835,Damparis,13.3,23.4,15.8,10.3,12.5
1836,Dole,12.9,23.7,14.5,10.2,11.1
1837,Foucherans,12.5,23.1,14.7,10.0,11.3
1838,Lons-le-Saunier,12.0,22.1,13.3,10.0,9.9
1839,Moirans-en-Montagne,11.7,20.8,14.5,10.5,10.1
1840,Montmorot,12.6,24.8,13.5,10.2,10.7
1841,Morbier,12.9,23.7,14.6,10.6,10.8
1842,Morez,10.9,26.7,12.9,9.8,9.9
1843,Poligny,12.3,23.5,14.0,10.0,10.5
1844,Les Rousses,13.2,22.1,15.9,10.3,11.6
1845,Saint-Amour,11.8,19.2,14.1,10.5,10.6
1846,Saint-Claude,11.4,22.5,13.1,10.2,10.1
1847,Saint-Lupicin,12.5,21.8,14.0,10.4,10.5
1848,Salins-les-Bains,10.7,19.6,12.5,9.7,9.5
1849,Tavaux,15.4,31.7,17.2,10.8,12.8
1850,Aire-sur-l'Adour,12.8,26.1,13.8,10.2,10.4
1851,Bénesse-Maremne,12.5,21.3,14.7,10.2,10.9
1852,Biscarrosse,12.6,25.3,13.7,9.9,11.1
1853,Capbreton,13.4,26.6,14.0,10.0,10.7
1854,Dax,11.8,22.5,13.8,9.8,10.3
1855,Grenade-sur-l'Adour,11.1,20.4,13.1,9.8,9.9
1856,Hagetmau,11.3,21.3,13.2,9.7,9.9
1857,Labenne,13.9,24.2,14.7,10.5,11.1
1858,Labouheyre,11.1,21.8,13.5,10.0,10.2
1859,Mimizan,12.2,22.1,14.8,9.9,11.0
1860,Mont-de-Marsan,12.0,21.9,13.8,10.2,9.8
1861,Morcenx,11.3,20.4,14.6,9.6,10.4
1862,Narrosse,11.8,23.0,14.2,9.9,10.5
1863,Ondres,14.0,24.3,14.8,10.6,11.5
1864,Parentis-en-Born,11.8,21.4,14.1,9.6,10.9
1865,Peyrehorade,12.0,21.6,13.8,10.2,10.7
1866,Pontonx-sur-l'Adour,12.0,21.0,13.6,9.8,11.0
1867,Pouillon,12.5,27.0,13.9,9.8,10.8
1868,Rion-des-Landes,11.8,21.9,14.1,10.3,11.0
1869,Saint-Geours-de-Maremne,11.9,22.2,13.3,10.0,10.4
1870,Saint-Martin-de-Seignanx,12.8,21.9,14.5,10.3,10.4
1871,Saint-Paul-lès-Dax,12.0,22.6,13.2,10.0,10.3
1872,Saint-Pierre-du-Mont,12.1,22.6,13.5,10.3,10.0
1873,Saint-Sever,11.9,23.0,13.9,10.3,10.0
1874,Saint-Vincent-de-Paul,12.9,22.9,14.8,10.5,11.2
1875,Saint-Vincent-de-Tyrosse,11.9,21.7,13.8,10.0,10.6
1876,Sanguinet,13.3,25.1,15.4,10.1,11.5
1877,Seignosse,14.8,27.7,15.0,10.9,10.8
1878,Soorts-Hossegor,15.8,32.2,15.4,9.9,10.5
1879,Soustons,12.7,25.8,13.9,10.1,10.7
1880,Tarnos,12.7,21.6,14.3,10.4,11.2
1881,Tartas,12.0,21.6,14.6,9.9,11.1
1882,Tosse,13.1,24.1,14.9,10.4,11.0
1883,Villeneuve-de-Marsan,11.6,23.6,12.8,9.8,10.1
1884,Ychoux,11.9,20.6,14.3,10.3,10.8
1885,Blois,13.0,23.9,13.8,10.2,10.4
1886,Cellettes,15.2,24.0,15.5,10.8,11.5
1887,Chailles,14.2,24.7,14.3,11.0,11.6
1888,La Chaussée-Saint-Victor,14.4,25.7,14.5,10.6,10.9
1889,Contres,12.1,20.5,14.2,10.0,11.0
1890,Cour-Cheverny,14.5,26.7,14.6,10.8,11.3
1891,Gièvres,11.9,23.6,14.4,9.8,10.6
1892,Huisseau-sur-Cosson,14.1,23.3,14.7,10.7,11.7
1893,Lamotte-Beuvron,12.6,22.7,13.9,10.1,11.0
1894,Mer,12.9,23.6,14.7,10.4,10.8
1895,Montoire-sur-le-Loir,11.7,23.7,13.2,10.0,10.3
1896,Mont-près-Chambord,14.1,24.6,15.9,10.8,11.4
1897,Montrichard,11.4,23.3,12.9,9.6,9.4
1898,Naveil,13.7,25.5,14.7,10.9,10.8
1899,Nouan-le-Fuzelier,12.0,24.4,12.8,10.0,10.5
1900,Noyers-sur-Cher,11.5,22.9,14.1,9.7,10.2
1901,Onzain,12.8,22.2,14.0,10.7,11.3
1902,Pruniers-en-Sologne,13.3,26.8,14.7,10.4,10.7
1903,Romorantin-Lanthenay,12.0,22.2,13.7,10.0,10.4
1904,Saint-Aignan,11.7,24.6,14.0,10.0,10.2
1905,Saint-Georges-sur-Cher,12.9,25.3,14.0,10.6,10.8
1906,Saint-Gervais-la-Forêt,15.2,26.5,15.7,11.0,10.5
1907,Saint-Laurent-Nouan,14.6,27.0,16.9,10.2,10.8
1908,Saint-Ouen,13.2,23.0,15.3,10.7,10.5
1909,Salbris,11.9,21.5,14.2,10.1,10.5
1910,Savigny-sur-Braye,11.9,22.7,14.3,10.4,10.7
1911,Selles-sur-Cher,11.3,22.0,14.1,10.1,10.3
1912,Vendôme,13.2,25.5,13.8,10.3,10.1
1913,Villebarou,13.2,23.1,14.6,10.6,11.5
1914,Villefranche-sur-Cher,12.1,23.9,13.6,10.1,10.4
1915,Vineuil,14.5,24.9,14.6,10.8,10.9
1916,Andrézieux-Bouthéon,13.1,24.0,15.1,10.4,11.0
1917,Balbigny,11.9,24.3,13.9,9.6,10.2
1918,Bellegarde-en-Forez,13.1,21.5,14.6,10.3,11.6
1919,Boën-sur-Lignon,11.8,24.7,13.6,9.8,10.4
1920,Bonson,12.9,22.3,14.8,10.8,11.4
1921,Bourg-Argental,12.1,20.5,13.6,10.1,10.9
1922,Le Chambon-Feugerolles,11.3,20.9,13.3,9.9,10.6
1923,Charlieu,11.3,21.6,13.4,9.7,9.9
1924,Chavanay,13.7,23.2,14.9,10.4,12.0
1925,Chazelles-sur-Lyon,12.2,21.8,13.8,10.1,11.0
1926,Commelle-Vernay,13.2,23.0,14.1,10.6,11.1
1927,Le Coteau,11.7,23.5,13.3,10.3,10.1
1928,L'Étrat,20.3,29.8,28.8,10.9,12.1
1929,Feurs,12.0,24.0,13.6,9.9,10.5
1930,Firminy,11.6,20.9,13.4,10.1,10.6
1931,La Fouillouse,16.1,27.3,17.2,11.0,11.5
1932,Fraisses,12.8,20.9,14.2,10.4,11.4
1933,La Grand-Croix,12.4,21.8,14.0,10.0,10.9
1934,L'Horme,12.1,22.8,13.6,10.4,10.3
1935,Lorette,12.4,21.4,13.5,10.2,11.0
1936,Mably,11.9,20.9,13.8,10.1,10.5
1937,Montbrison,12.7,24.6,14.5,10.1,10.8
1938,Montrond-les-Bains,13.3,24.5,13.6,10.7,11.2
1939,Panissières,11.7,21.5,14.6,10.2,10.2
1940,Pélussin,14.6,26.8,15.4,10.7,11.2
1941,Perreux,13.7,24.8,14.3,10.4,11.0
1942,Pouilly-sous-Charlieu,11.7,21.8,13.4,10.2,10.7
1943,Renaison,13.4,25.7,14.6,10.4,10.8
1944,La Ricamarie,11.1,20.3,13.1,10.0,10.3
1945,Riorges,12.8,24.0,14.2,10.5,10.4
1946,Rive-de-Gier,12.3,20.8,14.0,10.2,11.1
1947,Roanne,11.5,21.5,13.0,9.8,10.1
1948,Roche-la-Molière,12.7,22.0,13.9,10.2,11.0
1949,Saint-Chamond,12.4,22.3,13.6,10.1,10.8
1950,Saint-Cyprien,13.6,22.7,14.5,10.3,11.6
1951,Saint-Étienne,12.6,22.5,13.8,10.2,10.5
1952,Saint-Galmier,15.7,27.9,14.9,10.9,12.2
1953,Saint-Genest-Lerpt,14.7,26.3,15.5,10.7,11.2
1954,Saint-Genest-Malifaux,13.6,22.8,14.3,10.9,11.1
1955,Genilac,14.0,22.2,14.7,10.8,11.7
1956,Saint-Héand,14.5,24.1,15.0,10.7,11.4
1957,Saint-Jean-Bonnefonds,13.8,23.0,15.7,10.6,11.2
1958,Saint-Marcellin-en-Forez,13.4,22.4,14.4,10.4,11.7
1959,Saint-Martin-la-Plaine,14.6,23.4,14.8,11.1,11.7
1960,Saint-Paul-en-Jarez,13.5,21.7,15.1,10.5,11.2
1961,Saint-Priest-en-Jarez,15.8,27.1,18.0,10.8,11.1
1962,Saint-Just-Saint-Rambert,15.2,25.8,15.4,11.0,11.7
1963,Saint-Romain-le-Puy,13.0,22.4,14.9,10.2,11.8
1964,Savigneux,13.5,24.0,14.1,10.4,11.7
1965,Sorbiers,14.6,24.1,14.4,11.3,11.5
1966,Sury-le-Comtal,12.5,25.3,13.9,10.2,11.2
1967,La Talaudière,13.5,23.4,14.1,11.0,10.8
1968,Unieux,12.5,21.7,14.1,10.4,10.8
1969,Veauche,13.9,22.9,14.8,10.8,11.8
1970,Villars,14.1,23.1,16.9,10.7,11.2
1971,Villerest,13.6,22.5,15.0,10.8,10.9
1972,Aurec-sur-Loire,13.0,22.4,13.8,10.4,11.4
1973,Bas-en-Basset,12.8,24.0,14.2,10.3,11.0
1974,Beauzac,12.5,22.3,13.7,10.2,11.2
1975,Brioude,11.4,20.7,13.2,9.7,10.2
1976,Brives-Charensac,12.0,24.2,13.4,10.4,10.2
1977,Chadrac,12.4,24.2,13.5,10.2,10.7
1978,Le Chambon-sur-Lignon,11.8,23.2,13.1,10.0,10.0
1979,Coubon,12.4,21.0,14.0,10.1,10.5
1980,Craponne-sur-Arzon,11.2,21.4,13.1,9.6,10.1
1981,Dunières,12.0,24.3,13.0,10.0,10.7
1982,Espaly-Saint-Marcel,12.5,24.6,13.6,10.5,10.5
1983,Langeac,11.1,22.0,14.1,9.5,9.4
1984,Monistrol-sur-Loire,13.1,22.9,14.1,10.4,10.9
1985,Polignac,13.1,23.5,14.5,10.6,10.8
1986,Le Puy-en-Velay,11.8,22.0,13.1,9.7,9.9
1987,Retournac,11.7,19.8,13.3,10.2,10.7
1988,Saint-Didier-en-Velay,12.3,20.5,14.1,10.4,10.9
1989,Saint-Ferréol-d'Auroure,13.9,23.6,14.6,10.8,11.6
1990,Sainte-Florine,11.7,20.6,13.7,10.3,10.8
1991,Saint-Germain-Laprade,12.7,22.5,14.7,10.2,10.7
1992,Saint-Just-Malmont,12.1,20.6,13.6,10.2,10.7
1993,Saint-Maurice-de-Lignon,12.2,22.5,14.0,10.0,10.8
1994,Saint-Pal-de-Mons,12.5,26.0,14.6,9.5,10.9
1995,Saint-Paulien,11.4,20.2,13.1,9.8,10.2
1996,Sainte-Sigolène,12.0,24.7,14.3,10.1,10.4
1997,Tence,11.3,22.4,13.2,9.4,10.0
1998,Vals-près-le-Puy,12.3,24.1,13.8,9.6,9.9
1999,Yssingeaux,11.9,21.0,13.3,10.0,10.5
2000,Aigrefeuille-sur-Maine,13.3,22.2,13.8,10.4,11.2
2001,Ancenis,13.1,23.3,13.6,10.2,10.7
2002,Arthon-en-Retz,12.0,22.3,13.5,9.8,11.0
2003,Avessac,11.4,20.4,13.3,9.3,10.8
2004,Basse-Goulaine,16.9,26.4,15.3,11.3,12.0
2005,Batz-sur-Mer,12.5,25.8,13.8,10.0,11.1
2006,La Bernerie-en-Retz,13.1,22.6,15.7,10.1,10.9
2007,Besné,13.1,21.0,14.8,10.2,12.2
2008,Le Bignon,13.7,21.4,14.4,11.0,11.1
2009,Blain,12.4,20.9,14.2,9.9,10.7
2010,Bouaye,14.2,22.9,14.4,10.9,11.4
2011,Bouguenais,13.4,21.5,14.3,10.6,11.0
2012,Bourgneuf-en-Retz,12.0,22.0,13.6,9.9,11.0
2013,Boussay,11.8,23.5,13.1,10.1,10.8
2014,Bouvron,12.4,21.9,14.0,10.1,11.2
2015,Brains,14.0,22.9,14.6,10.5,11.9
2016,Campbon,13.2,21.1,14.6,10.4,11.6
2017,Carquefou,17.1,25.9,15.2,11.6,11.7
2018,Casson,14.3,22.6,14.5,11.0,11.4
2019,Le Cellier,15.2,24.9,14.4,11.1,11.2
2020,La Chapelle-Basse-Mer,12.8,21.8,13.9,10.6,10.7
2021,La Chapelle-des-Marais,12.1,21.9,14.0,9.7,11.6
2022,La Chapelle-Heulin,13.6,21.0,14.0,11.0,11.3
2023,La Chapelle-Launay,14.1,22.1,15.8,10.7,11.8
2024,La Chapelle-sur-Erdre,16.6,24.1,14.4,11.5,11.6
2025,Châteaubriant,12.0,24.1,14.2,10.0,10.3
2026,Château-Thébaud,13.9,22.1,14.0,11.1,11.0
2027,Chauvé,11.7,21.3,13.7,9.9,10.9
2028,Chéméré,12.0,20.7,13.5,10.0,10.8
2029,La Chevrolière,13.5,23.6,14.1,10.7,11.2
2030,Clisson,13.9,23.7,14.1,10.5,10.6
2031,Cordemais,13.1,22.4,14.4,10.5,11.2
2032,Corsept,13.0,23.2,14.9,10.5,11.7
2033,Couëron,13.6,22.0,14.3,10.7,11.2
2034,Couffé,12.8,21.2,14.0,10.4,11.5
2035,Le Croisic,12.6,29.4,14.0,9.8,11.0
2036,Crossac,13.0,21.7,14.5,10.0,12.5
2037,Derval,11.9,20.1,13.7,9.9,10.9
2038,Donges,12.8,24.2,15.4,10.1,12.0
2039,Drefféac,12.6,21.0,14.2,10.1,11.9
2040,Erbray,12.3,23.6,14.9,10.0,11.4
2041,La Baule-Escoublac,16.2,29.1,15.5,10.6,12.4
2042,Fay-de-Bretagne,12.6,20.3,13.8,10.3,11.2
2043,Fégréac,11.7,22.6,13.8,9.4,11.2
2044,Frossay,12.6,21.6,14.4,10.1,11.7
2045,Gétigné,12.6,22.3,13.9,10.5,11.0
2046,Gorges,13.3,22.4,14.1,10.5,11.0
2047,Grandchamps-des-Fontaines,14.2,22.2,14.8,11.0,11.2
2048,Guémené-Penfao,11.7,23.0,12.8,9.6,10.6
2049,Guenrouet,12.2,23.0,14.4,9.9,11.3
2050,Guérande,13.6,25.7,14.4,10.2,11.1
2051,La Haie-Fouassière,14.1,22.6,14.4,11.2,11.4
2052,Haute-Goulaine,15.8,24.9,14.3,11.1,11.3
2053,Herbignac,12.3,21.8,14.4,9.7,11.6
2054,Héric,13.3,21.0,14.4,10.6,11.1
2055,Indre,13.9,21.3,13.7,10.7,11.2
2056,Joué-sur-Erdre,12.6,21.0,13.6,10.4,10.9
2057,Le Landreau,12.7,21.9,13.6,10.3,11.2
2058,Legé,11.3,21.9,13.0,9.9,10.3
2059,Ligné,13.1,21.0,13.6,10.8,11.4
2060,La Limouzinière,12.3,22.3,13.9,9.9,10.9
2061,Le Loroux-Bottereau,12.8,21.4,13.9,10.5,10.5
2062,Machecoul,11.8,22.4,13.3,9.9,10.2
2063,Maisdon-sur-Sèvre,12.3,20.1,13.4,10.6,11.2
2064,Malville,13.2,21.0,14.5,10.5,11.5
2065,Mauves-sur-Loire,14.8,23.9,14.3,11.2,11.1
2066,Mésanger,12.6,21.9,13.7,10.1,11.3
2067,Missillac,12.3,22.3,14.1,9.9,11.7
2068,La Montagne,13.5,20.9,14.2,10.6,11.3
2069,Montbert,13.0,21.5,13.8,10.7,11.0
2070,Montoir-de-Bretagne,12.4,20.7,14.3,10.2,12.1
2071,Mouzillon,12.5,20.0,13.0,10.3,11.1
2072,Nantes,14.7,23.4,13.6,10.6,10.7
2073,Nort-sur-Erdre,13.0,21.8,13.2,10.6,10.9
2074,Notre-Dame-des-Landes,12.6,21.7,13.6,10.0,11.4
2075,Nozay,11.6,22.0,13.5,10.4,9.2
2076,Orvault,16.2,25.3,14.6,11.0,11.3
2077,Oudon,14.2,23.7,14.0,10.8,11.4
2078,Paimboeuf,12.1,20.2,14.4,9.7,11.3
2079,Le Pallet,13.0,20.8,14.3,10.4,11.1
2080,Le Pellerin,13.0,21.4,14.2,10.5,11.0
2081,Petit-Mars,13.9,21.6,14.2,10.9,11.3
2082,Piriac-sur-Mer,13.7,26.5,15.2,9.7,11.2
2083,La Plaine-sur-Mer,12.5,23.7,14.4,9.9,11.3
2084,La Planche,11.5,20.5,12.8,10.1,10.8
2085,Plessé,12.2,21.8,14.0,9.8,11.0
2086,Pontchâteau,13.0,21.9,14.3,10.2,11.9
2087,Pont-Saint-Martin,14.0,23.1,14.8,10.9,11.3
2088,Pornic,14.5,26.5,14.8,10.3,11.0
2089,Pornichet,15.3,26.0,15.0,10.3,12.7
2090,Port-Saint-Père,13.3,22.2,14.9,10.3,11.3
2091,Le Pouliguen,13.1,26.2,14.3,10.2,10.5
2092,Prinquiau,13.4,21.1,14.8,10.6,11.9
2093,Rezé,13.4,21.4,13.9,10.5,10.9
2094,Riaillé,11.7,21.5,13.4,10.2,10.8
2095,Rouans,13.0,21.6,14.8,10.3,11.6
2096,Rougé,11.6,21.6,14.1,9.9,10.8
2097,Saffré,12.4,21.5,13.7,10.1,11.1
2098,Saint-Aignan-Grandlieu,13.6,22.2,14.3,10.7,11.6
2099,Saint-André-des-Eaux,14.6,26.0,15.3,10.4,12.5
2100,Sainte-Anne-sur-Brivet,12.9,20.2,14.6,10.3,11.8
2101,Saint-Brevin-les-Pins,14.2,24.5,14.8,10.4,11.9
2102,Saint-Colomban,12.2,20.2,13.7,10.2,10.9
2103,Corcoué-sur-Logne,12.0,23.3,13.0,10.2,10.9
2104,Saint-Étienne-de-Montluc,15.4,24.9,15.3,11.0,11.5
2105,Saint-Géréon,13.4,21.2,14.0,10.7,11.2
2106,Saint-Gildas-des-Bois,11.9,20.5,14.0,9.9,11.3
2107,Saint-Herblain,13.3,21.4,13.5,10.6,10.5
2108,Saint-Herblon,13.0,22.6,13.9,10.3,11.4
2109,Saint-Hilaire-de-Chaléons,12.4,22.3,13.3,10.1,10.9
2110,Saint-Hilaire-de-Clisson,12.8,22.9,13.5,10.5,11.1
2111,Saint-Jean-de-Boiseau,13.7,21.9,14.3,10.5,11.5
2112,Saint-Joachim,12.5,20.7,14.6,9.7,12.1
2113,Saint-Julien-de-Concelles,13.7,22.3,14.2,10.8,11.1
2114,Sainte-Luce-sur-Loire,14.7,22.8,14.2,11.1,11.2
2115,Saint-Lumine-de-Clisson,12.9,22.5,13.9,10.3,11.2
2116,Saint-Lyphard,12.9,23.0,14.1,10.1,11.6
2117,Saint-Malo-de-Guersac,12.8,21.1,14.6,10.3,12.4
