,NomeCidade,MediaSalarialGeral,SalMed_ExecGeral,SalMed_GerenteIntGeral,SalMed_FuncGeral,SalMed_TrabalhadorGeral
1384,Saint-Aubin-de-Médoc,20.1,29.1,17.9,11.7,12.9
1385,Saint-Caprais-de-Bordeaux,13.7,21.2,14.1,11.1,11.4
1386,Saint-Christoly-de-Blaye,12.3,21.9,14.1,9.9,11.5
1387,Saint-Ciers-sur-Gironde,13.6,24.1,18.0,9.5,10.6
1388,Saint-Denis-de-Pile,11.8,21.7,14.0,10.3,10.5
1389,Sainte-Eulalie,14.1,23.5,14.6,10.8,11.8
1390,Sainte-Foy-la-Grande,12.1,22.1,14.7,10.1,10.1
1391,Saint-Germain-du-Puch,13.7,22.3,14.5,10.5,11.5
1392,Sainte-Hélène,13.8,21.3,15.0,11.1,12.1
1393,Saint-Jean-d'Illac,16.2,25.0,15.4,11.4,11.5
1394,Saint-Laurent-Médoc,12.2,21.6,13.8,10.4,10.9
1395,Saint-Loubès,13.8,23.2,14.5,11.1,11.3
1396,Saint-Louis-de-Montferrand,12.5,22.9,14.0,10.3,11.4
1397,Saint-Macaire,12.6,22.2,13.6,10.1,10.4
1398,Saint-Médard-de-Guizières,11.3,22.5,13.2,9.3,10.3
1399,Saint-Médard-d'Eyrans,13.9,23.9,14.5,11.1,11.2
1400,Saint-Médard-en-Jalles,15.7,24.7,15.5,11.1,11.7
1401,Saint-Quentin-de-Baron,12.1,20.8,14.0,10.1,10.8
1402,Saint-Savin,12.2,21.3,15.2,9.9,11.1
1403,Saint-Selve,14.7,21.8,15.1,11.0,11.8
1404,Saint-Seurin-sur-l'Isle,10.9,21.2,13.5,9.4,9.9
1405,Saint-Sulpice-et-Cameyrac,15.0,26.7,15.1,11.0,11.3
1406,Saint-Yzan-de-Soudiac,11.9,21.6,14.1,10.4,11.1
1407,Salleboeuf,14.7,22.4,15.0,11.0,12.1
1408,Salles,13.5,23.8,14.2,10.7,11.3
1409,Saucats,14.5,22.5,14.7,10.9,12.1
1410,Soulac-sur-Mer,11.2,20.7,13.1,9.6,10.9
1411,Le Taillan-Médoc,15.6,23.9,14.6,11.3,11.9
1412,Talence,13.9,22.2,13.7,10.4,10.6
1413,Le Teich,13.2,23.0,14.5,10.2,11.3
1414,La Teste-de-Buch,13.0,26.0,13.9,10.1,10.8
1415,Toulenne,11.9,23.7,13.2,9.9,10.1
1416,Tresses,14.2,22.7,14.5,10.7,11.6
1417,Vayres,13.6,24.1,14.3,10.6,11.3
1418,Vendays-Montalivet,12.1,24.3,14.1,9.6,11.1
1419,Villenave-d'Ornon,13.4,21.9,14.1,10.5,11.0
1420,Yvrac,15.0,25.9,15.0,11.4,11.7
1421,Marcheprime,13.5,22.8,13.8,10.6,11.4
1422,Agde,11.7,22.4,13.6,9.6,10.1
1423,Aniane,13.3,23.0,14.1,10.2,10.6
1424,Baillargues,15.5,25.0,15.8,11.0,11.3
1425,Balaruc-les-Bains,13.0,23.7,14.6,10.3,10.8
1426,Balaruc-le-Vieux,13.8,25.8,15.2,10.7,10.7
1427,Bédarieux,11.4,22.8,13.2,9.4,10.3
1428,Bessan,11.9,21.5,14.1,9.9,10.4
1429,Béziers,11.8,22.3,13.6,9.9,10.0
1430,Boujan-sur-Libron,13.8,24.9,13.6,10.7,11.0
1431,Canet,13.1,22.8,14.3,10.3,10.7
1432,Capestang,12.0,25.0,13.3,9.9,10.4
1433,Castelnau-le-Lez,15.8,26.3,15.0,10.6,10.8
1434,Castries,15.4,25.3,14.3,10.9,10.3
1435,Caux,12.1,21.7,13.2,10.0,10.6
1436,Cazouls-lès-Béziers,11.9,22.1,13.4,9.9,10.7
1437,Cers,11.9,19.6,13.8,10.1,11.0
1438,Cessenon-sur-Orb,11.8,24.1,13.5,9.9,10.6
1439,Clapiers,16.5,25.7,14.2,10.9,10.8
1440,Clermont-l'Hérault,12.1,23.6,13.3,9.8,10.2
1441,Colombiers,12.8,21.5,13.7,10.5,11.2
1442,Cournonsec,13.8,22.4,14.2,11.0,10.9
1443,Cournonterral,13.2,22.1,14.5,10.5,10.8
1444,Le Crès,15.0,22.0,16.5,10.7,10.8
1445,Fabrègues,13.5,22.9,14.3,10.7,10.8
