,NomeCidade,NumEmpCid,NumEmpDesc,NumCol_5,NumCol_9,NumCol_19,NumCol_49,NumCol_99,NumCol_199,NumCol_499,NumCol_+500
30245,Chamousset,25,15,9,0,1,0,0,0,0,0
30246,Chamoux-sur-Gelon,60,48,6,5,0,0,0,1,0,0
30247,Champagneux,32,25,4,1,2,0,0,0,0,0
30248,Champagny-en-Vanoise,156,116,29,5,6,0,0,0,0,0
30249,Champ-Laurent,0,0,0,0,0,0,0,0,0,0
30250,Chanaz,51,37,13,0,0,1,0,0,0,0
30251,La Chapelle,13,12,1,0,0,0,0,0,0,0
30252,La Chapelle-Blanche,16,14,2,0,0,0,0,0,0,0
30253,La Chapelle-du-Mont-du-Chat,23,17,6,0,0,0,0,0,0,0
30254,Les Chapelles,52,49,3,0,0,0,0,0,0,0
30255,La Chapelle-Saint-Martin,4,4,0,0,0,0,0,0,0,0
30256,Châteauneuf,47,30,14,3,0,0,0,0,0,0
30257,Le Châtel,7,5,2,0,0,0,0,0,0,0
30258,Le Châtelard,59,43,11,2,1,2,0,0,0,0
30259,La Chavanne,24,16,6,2,0,0,0,0,0,0
30260,Les Chavannes-en-Maurienne,14,8,3,2,1,0,0,0,0,0
30261,Chignin,70,46,16,3,4,1,0,0,0,0
30262,Chindrieux,102,82,17,2,1,0,0,0,0,0
30263,Cléry,15,13,1,0,1,0,0,0,0,0
30264,Cognin,253,171,58,13,8,2,1,0,0,0
30265,Cohennoz,30,24,4,1,1,0,0,0,0,0
30266,Coise-Saint-Jean-Pied-Gauthi,59,39,18,1,1,0,0,0,0,0
30267,La Compôte,23,19,2,1,1,0,0,0,0,0
30268,Conjux,10,9,1,0,0,0,0,0,0,0
30269,Corbel,15,13,2,0,0,0,0,0,0,0
30270,La Côte-d'Aime,63,57,5,0,0,1,0,0,0,0
30271,Crest-Voland,126,96,24,3,2,0,1,0,0,0
30272,La Croix-de-la-Rochette,24,15,5,1,2,0,1,0,0,0
30273,Cruet,66,48,14,1,2,1,0,0,0,0
30274,Curienne,24,22,2,0,0,0,0,0,0,0
30275,Les Déserts,139,109,24,5,1,0,0,0,0,0
30276,Détrier,23,11,8,2,0,2,0,0,0,0
30277,Domessin,86,59,14,4,5,3,1,0,0,0
30278,Doucy-en-Bauges,7,7,0,0,0,0,0,0,0,0
30279,Drumettaz-Clarafond,231,123,69,18,13,6,1,0,1,0
30280,Dullin,21,17,1,1,2,0,0,0,0,0
30281,Les Échelles,93,62,24,4,3,0,0,0,0,0
30282,École,19,12,5,0,0,2,0,0,0,0
30283,Entremont-le-Vieux,43,34,7,2,0,0,0,0,0,0
30284,Épersy,23,19,4,0,0,0,0,0,0,0
30285,Épierre,50,31,13,1,2,3,0,0,0,0
30286,Esserts-Blay,36,25,6,1,3,1,0,0,0,0
30287,Étable,7,5,2,0,0,0,0,0,0,0
30288,Feissons-sur-Isère,26,22,3,0,1,0,0,0,0,0
30289,Feissons-sur-Salins,15,14,1,0,0,0,0,0,0,0
30290,Flumet,133,97,30,4,0,2,0,0,0,0
30291,Fontaine-le-Puits,4,4,0,0,0,0,0,0,0,0
30292,Fontcouverte-la-Toussuire,227,157,54,9,6,0,1,0,0,0
30293,Fourneaux,59,36,13,8,1,1,0,0,0,0
30294,Francin,106,52,18,11,9,12,3,0,1,0
